# cpu_count=4,total_ram_gb=15.6
t,cpu_cores,ram_gb,gpu_pct
0.1,1.02,2.3,
1.2,1.85,2.23,
2.3,0.2,2.21,
3.4,0.1,2.2,
4.5,0.1,2.19,
5.6,2.2,2.21,
6.7,2.26,2.26,
7.8,2.24,2.21,
8.9,1.95,2.23,
10.0,2.73,2.26,
11.1,0.0,2.27,
12.2,1.02,2.28,
13.3,0.0,2.28,
14.4,0.0,2.28,
15.5,0.0,2.28,
16.6,0.0,2.28,
17.7,0.0,2.28,
18.8,0.1,2.28,
