# cpu_count=4,total_ram_gb=15.6
t,cpu_cores,ram_gb,gpu_pct
0.1,1.1,2.31,
1.2,1.7,2.21,
2.3,0.1,2.21,
3.4,1.02,2.23,
4.5,1.3,2.24,
5.6,3.0,2.29,
6.7,3.02,2.32,
7.8,3.4,2.39,
8.9,3.69,2.36,
10.0,3.9,2.31,
11.1,3.4,2.27,
12.2,3.8,2.26,
13.3,3.6,2.25,
14.4,3.51,2.24,
15.5,3.5,2.22,
16.6,3.59,2.2,
17.7,3.7,2.21,
