# total_ram_gb=15.6
t,ram_gb,vram_gb
0.0,2.28,
1.0,2.2,
2.0,2.23,
3.0,2.25,
4.0,2.25,
5.0,2.27,
6.0,2.31,
7.0,2.32,
8.0,2.3,
9.0,2.33,
10.0,2.35,
11.0,2.3,
12.0,2.28,
13.0,2.27,
14.0,2.25,
15.0,2.24,
16.0,2.23,
17.0,2.23,
18.0,2.21,
19.0,2.18,
