# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.66,
1.0,4.47,
2.0,4.61,
3.0,4.65,
4.0,4.62,
5.0,4.62,
6.0,4.69,
7.0,4.61,
8.0,4.69,
9.0,4.64,
10.0,4.66,
11.0,4.7,
12.0,4.73,
13.0,4.73,
14.0,4.73,
15.0,4.57,
16.0,4.59,
17.0,4.66,
18.0,4.58,
19.0,4.62,
20.0,4.56,
21.0,4.63,
22.0,4.61,
23.0,4.62,
24.0,4.59,
25.0,4.59,
26.0,4.59,
27.0,4.59,
28.0,4.59,
29.0,4.59,
30.0,4.59,
31.0,4.69,
