# cpu_count=4,total_ram_gb=16.0
t,cpu_cores,ram_gb,gpu_pct
0.1,1.33,5.24,
1.2,2.33,5.13,
2.3,0.33,5.14,
3.4,0.0,5.17,
4.5,0.17,5.17,
5.6,1.79,5.22,
6.7,2.86,5.27,
7.8,2.0,5.28,
8.9,2.14,5.24,
10.0,1.6,5.29,
11.1,2.72,5.22,
12.2,2.33,5.3,
13.3,1.43,5.21,
14.4,1.83,5.25,
15.5,1.86,5.26,
16.6,1.33,5.25,
17.7,1.28,5.27,
18.8,1.78,5.26,
19.9,0.31,5.24,
21.0,0.67,5.24,
22.1,0.33,5.25,
23.2,1.1,5.25,
24.3,1.5,5.26,
25.5,2.63,5.27,
