# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.13,
1.0,4.77,
2.0,4.91,
3.0,4.96,
4.0,4.96,
5.0,4.95,
6.0,4.85,
7.0,4.89,
8.0,4.96,
9.1,5.04,
10.1,5.04,
11.1,5.06,
12.1,5.28,
