# total_ram_gb=7.0
t,ram_gb,vram_gb
0.0,3.55,
1.0,3.48,
2.0,3.5,
3.2,3.53,
4.2,3.54,
5.2,3.53,
6.2,3.53,
7.2,3.56,
8.2,3.57,
9.2,3.57,
10.3,3.61,
11.5,3.57,
12.6,3.58,
13.8,3.56,
14.9,3.58,
16.0,3.52,
17.0,3.58,
18.1,3.59,
19.2,3.56,
20.3,3.54,
21.4,3.57,
22.5,3.57,
23.6,3.56,
24.7,3.57,
25.7,3.57,
26.9,3.57,
28.0,3.57,
29.1,3.56,
30.1,3.56,
31.2,3.57,
