# cpu_count=3,total_ram_gb=7.0
t,cpu_cores,ram_gb,gpu_pct
0.2,1.99,3.63,
1.5,2.46,3.58,
2.7,2.92,3.61,
3.8,3.0,3.62,
5.2,2.96,3.64,
6.6,2.96,3.68,
8.0,3.0,3.6,
9.3,3.0,3.63,
10.7,3.0,3.58,
12.0,3.0,3.58,
13.3,3.0,3.59,
14.6,3.0,3.59,
16.0,3.0,3.6,
17.3,3.0,3.6,
18.7,3.0,3.59,
20.0,3.0,3.6,
21.2,3.0,3.59,
22.5,3.0,3.59,
23.7,3.0,3.59,
25.0,3.0,3.53,
26.4,3.0,3.59,
27.7,3.0,3.59,
28.9,3.0,3.61,
30.3,3.0,3.61,
31.6,3.0,3.6,
32.9,3.0,3.58,
34.1,3.0,3.51,
