# cpu_count=3,total_ram_gb=7.0
t,cpu_cores,ram_gb,gpu_pct
0.2,2.31,3.7,
1.6,1.97,3.63,
2.9,2.82,3.69,
4.1,3.0,3.69,
5.4,2.1,3.71,
6.7,2.45,3.7,
7.9,2.47,3.7,
9.1,2.21,3.69,
10.3,2.86,3.7,
11.6,3.0,3.67,
12.9,2.87,3.7,
14.3,3.0,3.67,
15.5,2.43,3.69,
16.9,3.0,3.7,
18.3,3.0,3.69,
19.5,3.0,3.7,
20.9,3.0,3.65,
22.1,3.0,3.71,
23.4,3.0,3.67,
