# cpu_count=4,total_ram_gb=16.0
t,cpu_cores,ram_gb,gpu_pct
0.1,1.17,4.28,
1.2,3.11,4.17,
2.3,0.14,4.22,
3.4,0.0,4.22,
4.5,0.14,4.2,
5.6,2.28,4.24,
6.7,3.17,4.3,
7.9,3.57,4.22,
9.0,2.33,4.27,
10.1,2.57,4.23,
11.2,3.33,4.19,
12.3,2.9,4.24,
13.4,1.5,4.17,
14.5,1.86,4.24,
15.6,2.77,4.15,
16.7,1.43,4.22,
17.8,1.0,4.22,
18.9,0.14,4.2,
20.0,0.5,4.2,
21.1,0.0,4.17,
22.2,0.17,4.17,
23.3,0.0,4.17,
24.4,0.48,4.17,
