# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.33,
1.0,4.08,
2.0,4.24,
3.0,4.27,
4.0,4.27,
5.0,4.25,
6.0,4.28,
7.0,4.37,
8.0,4.32,
9.0,4.25,
10.0,4.34,
11.0,4.28,
12.0,4.36,
13.0,4.32,
14.0,4.32,
15.0,4.28,
16.0,4.3,
17.0,4.3,
18.0,4.36,
19.0,4.42,
20.0,4.5,
21.0,4.56,
22.0,4.57,
23.0,4.59,
24.0,4.72,
