# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.25,
1.0,4.22,
2.0,4.3,
3.0,4.34,
4.0,4.34,
5.0,4.33,
6.0,4.4,
7.0,4.32,
8.0,4.41,
9.0,4.52,
10.0,4.6,
11.0,4.6,
12.0,4.6,
13.0,4.6,
14.0,4.56,
15.0,4.31,
16.0,4.41,
17.0,4.33,
18.0,4.42,
19.0,4.48,
20.0,4.48,
21.0,4.36,
22.0,4.43,
23.0,4.27,
24.0,4.27,
25.0,4.26,
26.0,4.25,
27.0,4.25,
28.0,4.25,
29.0,4.24,
30.0,4.24,
31.0,4.24,
32.0,4.24,
