# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,5.37,
1.0,5.0,
2.0,5.12,
3.0,5.12,
4.0,5.15,
5.0,5.15,
6.0,5.16,
7.0,5.17,
8.0,5.2,
9.0,5.16,
10.0,5.1,
11.0,5.14,
12.0,5.27,
13.0,5.07,
14.0,5.07,
15.0,5.11,
