# total_ram_gb=16.0
t,ram_gb,vram_gb
0.0,4.39,
1.0,4.18,
2.0,4.35,
3.0,4.4,
4.0,4.39,
5.0,4.35,
6.0,4.35,
7.0,4.42,
8.0,4.48,
9.0,4.61,
10.0,4.72,
11.0,4.34,
12.0,4.55,
13.0,4.73,
14.0,4.32,
15.0,4.47,
16.0,4.8,
17.0,4.8,
18.0,4.81,
19.0,4.81,
20.0,4.79,
21.0,4.79,
22.0,4.79,
23.0,4.79,
24.0,4.79,
25.0,4.79,
26.0,4.79,
27.0,4.78,
